candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage3_382,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,6.0,scale,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,4,0.79375,7.016
stage3_383,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0,0.723125,4.268
stage3_383,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,1,0.7025,4.357
stage3_383,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,2,0.695625,5.393
stage3_383,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,3,0.728125,4.355
stage3_383,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,4,0.705625,4.205
stage3_384,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,6.0,0.0025,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,0,0.764375,4.825
stage3_384,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,6.0,0.0025,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,1,0.753125,4.683
stage3_384,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,6.0,0.0025,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,2,0.753125,4.913
stage3_384,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,6.0,0.0025,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,3,0.76125,4.646
stage3_384,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,6.0,0.0025,"{""model__C"": 6.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,4,0.741875,4.824
stage3_385,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,6.0,0.005,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,0,0.8025,6.616
stage3_385,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,6.0,0.005,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,1,0.79,7.32
stage3_385,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,6.0,0.005,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,2,0.7925,5.878
stage3_385,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,6.0,0.005,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,3,0.789375,6.739
stage3_385,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,6.0,0.005,"{""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,4,0.79125,6.543
stage3_386,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,0,0.809375,5.204
stage3_386,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,1,0.8025,5.223
stage3_386,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,2,0.814375,6.431
stage3_386,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,3,0.806875,5.187
stage3_386,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,4,0.800625,5.162
stage3_387,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,6.0,0.02,"{""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,0,0.798125,6.352
stage3_387,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,6.0,0.02,"{""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,1,0.805,6.401
